record_id,type,name,description,criticality,lifecycle_status,environment,technology,pipeline_type,schedule,audience,refresh_frequency,business_capability,replaced_by
APP-001,application,Storefront,Customer-facing e-commerce storefront web application.,critical,active,prod,React / Node.js,,,,,Product Catalog,
APP-002,application,Order Management,Internal application for managing and tracking customer orders.,critical,active,prod,Java / Spring Boot,,,,,Order Management,
APP-003,application,Customer Portal,Self-service portal where customers manage their account and orders.,high,active,prod,React / Node.js,,,,,Customer Management,
APP-004,application,Admin Console,Internal back-office admin tool for customer support and operations staff.,medium,active,prod,Angular / .NET,,,,,Customer Management,
APP-005,application,Warehouse Management App,"Warehouse floor application for picking, packing, and inventory counts.",high,active,prod,Java,,,,,Fulfillment & Shipping,
APP-006,application,Point of Sale,In-store point-of-sale application (handheld + register).,critical,active,prod,Kotlin (Android) + Java backend,,,,,Product Catalog,
APP-007,application,Marketing Automation Hub,Marketing campaign builder and customer segmentation tool.,medium,deprecated,prod,Python / Django,,,,,Customer Management,Customer Engagement Platform
APP-008,application,Customer Engagement Platform,Next-gen customer engagement platform replacing Marketing Automation Hub.,medium,planned,staging,Python / Django + Segment,,,,,Customer Management,
SVC-001,service,Order Service,"Backend service owning order creation, state, and history.",critical,active,prod,Java / Spring Boot,,,,,Order Management,
SVC-002,service,Customer Service,Backend service owning customer profile and account data.,critical,active,prod,Python / FastAPI,,,,,Customer Management,
SVC-003,service,Inventory Service,Backend service tracking stock levels across warehouses.,high,active,prod,Go,,,,,Inventory Management,
SVC-004,service,Pricing Service,Backend service owning product catalog and pricing rules.,high,active,prod,Java,,,,,Product Catalog,
SVC-005,service,Shipping Service,Backend service coordinating shipment creation and carrier handoff.,high,active,prod,Go,,,,,Fulfillment & Shipping,
PIPE-001,data_pipeline,Nightly Order ETL,Nightly extract of order data into the analytics warehouse.,medium,active,,,etl,0 2 * * *,,,,
PIPE-002,data_pipeline,Customer Data Sync,Hourly sync of customer profile changes into the analytics warehouse.,medium,active,,,batch_job,hourly,,,,
PIPE-003,data_pipeline,Inventory Reconciliation ETL,Nightly reconciliation of warehouse inventory counts into analytics.,medium,active,,,etl,0 3 * * *,,,,
RPT-001,report,Executive Sales Dashboard,Daily executive-facing sales and revenue dashboard.,medium,active,,,,,executive,daily,,
RPT-002,report,Inventory Health Report,Weekly report on stock-out risk and slow-moving inventory.,low,active,,,,,internal-ops,weekly,,
